trade,category,name,unit,typical_low,typical_high,stocked_by
hvac,Electrical,"Run capacitor 45/5 MFD",ea,16,32,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Electrical,"Run capacitor 35/5 MFD",ea,14,28,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Electrical,"Contactor 2 pole 30A",ea,14,28,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Electrical,"Hard start kit",ea,24,48,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Electrical,"Disconnect box 60A, non-fused",ea,18,36,"Johnstone Supply; Ferguson; SupplyHouse.com; CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
hvac,Electrical,"Whip, 6 ft 10/2",ea,22,42,"Johnstone Supply; Ferguson; SupplyHouse.com; CED (Consolidated Electrical); Graybar; Winsupply; Home Depot Pro; Lowe's Pro; Menards"
hvac,Electrical,"Transformer 40 VA",ea,18,34,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Controls,"Smart thermostat",ea,95,250,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Controls,"Programmable thermostat",ea,34,78,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Controls,"Zone control board, 3 zone",ea,240,420,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Controls,"Zone damper, 8 in",ea,68,125,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Controls,"Condensate float switch",ea,11,22,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Filters,"Pleated filter 16x25x1, 12 pk",case,38,68,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Filters,"Pleated filter 20x25x1, 12 pk",case,42,78,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Filters,"Media filter 20x25x5",ea,34,65,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Motors,"Blower motor 1/2 HP, ECM",ea,280,520,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Motors,"Condenser fan motor 1/4 HP",ea,95,180,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Motors,"Inducer motor assembly",ea,185,340,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Duct,"Flex duct R8, 8 in x 25 ft",ea,48,88,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Duct,"Flex duct R8, 6 in x 25 ft",ea,38,72,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Duct,"Rigid duct 8 in, 5 ft",ea,14,26,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Duct,"Sheet metal plenum, 20x20x48",ea,78,145,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Duct,"Supply register 4x10",ea,8,18,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Duct,"Return grille 20x20",ea,24,48,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Duct,"Duct board 1-1/2 in, 4x10",ea,42,78,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Sealants,"Foil duct tape, 2 in x 60 yd",roll,9,18,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Sealants,"Duct mastic, 1 gal",ea,18,34,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Tools,"Nitrogen regulator",ea,120,240,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Install,"Equipment pad 36x36",ea,52,98,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
hvac,Install,"Line set cover kit",ea,42,85,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Drainage,"Condensate pump, 120V",ea,48,92,"Johnstone Supply; Ferguson; SupplyHouse.com; Winsupply"
hvac,Equipment,"UV air purifier",ea,240,450,"Johnstone Supply; Ferguson; SupplyHouse.com"
hvac,Equipment,"Whole house humidifier",ea,180,340,"Johnstone Supply; Ferguson; SupplyHouse.com; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Interior paint, eggshell, 5 gal",ea,135,235,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Interior paint, flat, 5 gal",ea,120,210,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Interior paint, satin, 5 gal",ea,145,250,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Interior paint, semi-gloss, 5 gal",ea,150,260,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Exterior paint, satin, 5 gal",ea,175,300,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Exterior paint, flat, 5 gal",ea,165,285,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Ceiling paint, flat white, 5 gal",ea,95,175,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Primer, PVA drywall, 5 gal",ea,78,140,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Primer, stain blocking oil, 5 gal",ea,135,235,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Primer, bonding, 1 gal",ea,34,62,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Cabinet enamel, 1 gal",ea,58,110,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Porch and floor enamel, 1 gal",ea,42,78,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Exterior stain, semi-transparent, 5 gal",ea,165,290,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Paint,"Elastomeric coating, 5 gal",ea,145,265,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Roller cover 9 in, 3/8 nap, 6 pk",pk,18,34,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Roller cover 9 in, 1/2 nap, 6 pk",pk,20,38,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Roller cover 18 in, 3/8 nap",ea,11,22,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Roller frame 9 in",ea,8,16,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Brush 2.5 in angled sash",ea,12,24,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Brush 4 in wall",ea,16,32,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Airless spray tip, 517",ea,22,42,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Tools,"Spray sock and filters",pk,14,28,"Sherwin-Williams; Benjamin Moore"
painting,Tools,"5 gal bucket and grid",ea,12,24,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Painter tape 1.5 in, 6 pk",pk,28,48,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Painter tape 2 in, 6 pk",pk,34,58,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Masking film 24 in x 180 ft",roll,14,28,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Drop cloth canvas 9x12",ea,22,42,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Drop cloth plastic 9x12, 3 pk",pk,12,24,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Rosin paper 36 in x 166 ft",roll,24,44,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Sanding sponges, 12 pk",pk,14,26,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Sanding pole and screens",ea,24,46,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards; L&W Supply; Foundation Building Materials"
painting,Prep,"Joint compound, 4.5 gal",ea,16,30,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards; L&W Supply; Foundation Building Materials"
painting,Prep,"Spackling paste, 1 gal",ea,14,28,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"Wood filler, 1 qt",ea,12,24,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Prep,"TSP cleaner, 1 gal",ea,14,26,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Sealants,"Caulk, paintable acrylic, 12 pk",case,32,58,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Sealants,"Caulk, siliconized acrylic, 12 pk",case,38,68,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
painting,Sealants,"Exterior sealant, 10 oz",ea,8,16,"Sherwin-Williams; Benjamin Moore; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Turf,"Sod, bermuda, pallet",pallet,260,420,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Turf,"Sod, fescue, pallet",pallet,280,450,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Turf,"Sod, zoysia, pallet",pallet,340,520,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Turf,"Grass seed, tall fescue, 50 lb",bag,120,200,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Turf,"Starter fertilizer, 50 lb",bag,38,68,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Turf,"Weed and feed, 50 lb",bag,42,75,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Bulk,"Mulch, hardwood, cu yd",yd,32,58,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"Mulch, cedar, cu yd",yd,42,72,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"Mulch, bagged 2 cu ft, 50 pk",pallet,145,250,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Bulk,"Topsoil, screened, cu yd",yd,28,52,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"Compost, cu yd",yd,34,62,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"River rock 1 in, cu yd",yd,85,145,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"Decomposed granite, cu yd",yd,52,95,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Bulk,"Paver base gravel, cu yd",yd,32,58,"SiteOne Landscape Supply; SRS Distribution; White Cap"
landscaping,Bulk,"Paver sand, cu yd",yd,38,68,"SiteOne Landscape Supply; SRS Distribution; White Cap"
landscaping,Bulk,"Polymeric sand, 50 lb",bag,28,48,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Hardscape,"Paver 6x9, per sq ft",sqft,3.2,6.5,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Hardscape,"Paver 12x12, per sq ft",sqft,3.8,7.5,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Hardscape,"Retaining wall block, per sq ft",sqft,6,12,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Hardscape,"Flagstone, per ton",ton,280,520,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Hardscape,"Steel edging, 8 ft",ea,18,34,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Hardscape,"Plastic paver edging, 8 ft",ea,8,16,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Prep,"Landscape fabric 4x100 ft",roll,34,62,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Prep,"Weed barrier pins, 100 ct",box,14,26,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Drip tubing 1/2 in, 100 ft",roll,18,34,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Drip emitters, 100 ct",bag,16,30,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Sprinkler head, 4 in pop-up, 25 pk",case,52,95,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Rotor head, 4 in, 10 pk",case,95,175,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Irrigation,"Irrigation valve 1 in",ea,22,42,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Valve box, 10 in round",ea,14,28,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Irrigation controller, 8 zone",ea,85,185,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Poly pipe 1 in, 100 ft",roll,28,52,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Irrigation,"Backflow preventer, 1 in PVB",ea,110,200,"SiteOne Landscape Supply; SRS Distribution; Ferguson; Winsupply; SupplyHouse.com"
landscaping,Plants,"Shrub, 3 gal",ea,22,45,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Plants,"Shrub, 5 gal",ea,34,68,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Plants,"Tree, 15 gal",ea,95,185,"SiteOne Landscape Supply; SRS Distribution"
landscaping,Plants,"Perennial, 1 gal",ea,8,18,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Plants,"Annual flats, 18 ct",flat,22,42,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Lighting,"Landscape lighting, path light",ea,34,78,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Lighting,"Low voltage transformer, 300W",ea,130,240,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
landscaping,Wire,"Low voltage cable 12/2, 100 ft",roll,52,95,"SiteOne Landscape Supply; SRS Distribution; Home Depot Pro; Lowe's Pro; Menards"
concrete,Concrete,"Ready mix 3000 psi, cu yd",yd,145,210,"White Cap"
concrete,Concrete,"Ready mix 4000 psi, cu yd",yd,160,235,"White Cap"
concrete,Concrete,"Short load fee, per yd under minimum",ea,40,95,"White Cap"
concrete,Concrete,"Concrete mix 80 lb bag",bag,5.5,9.5,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Concrete,"High early strength mix, 80 lb",bag,7.5,13,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Concrete,"Mortar mix type S, 80 lb",bag,7,12,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Concrete,"Non-shrink grout, 50 lb",bag,22,40,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Rebar #4, 20 ft",ea,11,20,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Rebar #5, 20 ft",ea,17,30,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Rebar #3, 20 ft",ea,7,13,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Wire mesh 6x6 W1.4, 5x10 sheet",ea,9,17,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Rebar tie wire, 3.5 lb roll",ea,9,18,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Steel,"Rebar chairs, 100 ct",box,26,48,"White Cap"
concrete,Steel,"Dowel bar 3/4 x 18, 25 pk",box,58,105,"White Cap"
concrete,Forms,"Form lumber 2x4x8",ea,3.8,7,"White Cap; Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
concrete,Forms,"Form lumber 2x8x10",ea,11,20,"White Cap; Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
concrete,Forms,"Form stakes 24 in, 25 pk",bundle,34,62,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Forms,"Form stakes 36 in, 10 pk",bundle,28,52,"White Cap"
concrete,Forms,"Snap ties, 100 ct",box,78,145,"White Cap"
concrete,Forms,"Form release agent, 5 gal",ea,42,78,"White Cap"
concrete,Joints,"Expansion joint 1/2 x 4 in x 50 ft",roll,15,28,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Joints,"Control joint strip, 10 ft",ea,6,12,"White Cap"
concrete,Joints,"Backer rod 1/2 in, 100 ft",roll,9,18,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Joints,"Self leveling joint sealant, 10 oz",ea,9,17,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Finish,"Curing compound, 5 gal",ea,68,125,"White Cap"
concrete,Finish,"Concrete sealer, 5 gal",ea,95,175,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Finish,"Densifier, 5 gal",ea,110,195,"White Cap"
concrete,Finish,"Color hardener, 60 lb",bag,48,88,"White Cap"
concrete,Finish,"Release powder, 30 lb",bag,52,95,"White Cap"
concrete,Prep,"Vapor barrier 10 mil, 20x100",roll,85,155,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Prep,"Vapor barrier 15 mil, 20x100",roll,135,240,"White Cap"
concrete,Hardware,"Anchor bolt 1/2 x 10, 50 pk",box,34,62,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Hardware,"Wedge anchor 1/2 x 4-3/4, 50 pk",box,58,105,"White Cap; Home Depot Pro; Lowe's Pro; Menards; Fastenal; Grainger; Zoro"
concrete,Hardware,"Epoxy anchoring adhesive, tube",ea,24,46,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Hardware,"Post base, adjustable",ea,14,28,"White Cap; Home Depot Pro; Lowe's Pro; Menards; Builders FirstSource; 84 Lumber; Carter Lumber"
concrete,Tools,"Bull float 48 in",ea,130,240,"White Cap; Fastenal; Grainger; Zoro"
concrete,Tools,"Magnesium hand float",ea,28,55,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Tools,"Steel finishing trowel 16 in",ea,34,68,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Tools,"Edger and groover set",ea,28,55,"White Cap; Home Depot Pro; Lowe's Pro; Menards"
concrete,Tools,"Concrete rake, come-along",ea,58,110,"White Cap; Fastenal; Grainger; Zoro"
drywall,Panels,"Drywall 1/2 in, 4x8",ea,12,20,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Drywall 1/2 in, 4x12",ea,18,30,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Drywall 5/8 in type X, 4x8",ea,15,25,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Moisture resistant board, 4x8",ea,18,30,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Cement board 1/2 in, 3x5",ea,14,24,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Steel stud 3-5/8 in, 10 ft",ea,6,11,"L&W Supply; Foundation Building Materials"
drywall,Panels,"Steel track 3-5/8 in, 10 ft",ea,6,11,"L&W Supply; Foundation Building Materials"
drywall,Prep,"Joint compound all purpose, 4.5 gal",ea,16,28,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Prep,"Joint compound lightweight, 4.5 gal",ea,17,30,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Prep,"Setting compound 90 min, 18 lb",bag,14,26,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Prep,"Paper joint tape, 500 ft",roll,6,12,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Prep,"Mesh joint tape, 300 ft",roll,8,15,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Prep,"Corner bead 8 ft",ea,3.5,7,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Fasteners,"Drywall screws 1-1/4 in, 5 lb",box,18,32,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Fasteners,"Drywall screws 1-5/8 in, 5 lb",box,20,35,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Batt insulation R13, 3.5 in, bag",bag,48,85,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Batt insulation R19, 6.25 in, bag",bag,58,105,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Batt insulation R30, bag",bag,62,115,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Panels,"Rigid foam 1 in, 4x8",ea,18,32,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Sealants,"Spray foam, 12 oz can",ea,7,14,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
drywall,Finish,"Texture spray, 20 oz",ea,11,22,"L&W Supply; Foundation Building Materials; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"2x4x8 stud, SPF",ea,3.2,6,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"2x4x92-5/8 precut stud",ea,3.4,6.5,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"2x6x10, SPF",ea,8,15,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"2x8x12, SYP",ea,16,28,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"2x10x16, SYP",ea,28,50,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"4x4x8 treated post",ea,9,17,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"6x6x8 treated post",ea,24,44,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"LVL 1-3/4 x 11-7/8, per ft",lf,7,13,"Builders FirstSource; 84 Lumber; Carter Lumber"
framing,Panels,"OSB sheathing 7/16 in, 4x8",ea,14,26,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"Plywood CDX 1/2 in, 4x8",ea,24,44,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"Plywood 3/4 in tongue and groove, 4x8",ea,38,68,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Prep,"House wrap 9x100 ft",roll,145,250,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards; ABC Supply; SRS Distribution; Beacon Building Products"
framing,Prep,"Flashing tape 4 in x 75 ft",roll,22,42,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards; ABC Supply; SRS Distribution; Beacon Building Products"
framing,Hardware,"Joist hanger 2x8, 25 pk",box,32,58,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Hardware,"Hurricane tie, 25 pk",box,26,48,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Fasteners,"Framing nails 3-1/4 in, 2000 ct",box,48,85,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Fasteners,"Structural screws 4 in, 50 ct",box,34,62,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Panels,"Deck boards composite, per lf",lf,3.2,7,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
framing,Fasteners,"Deck screws 2-1/2 in, 5 lb",box,26,48,"Builders FirstSource; 84 Lumber; Carter Lumber; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Utility knife blades, 100 ct",box,14,28,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Chalk line and chalk",ea,14,28,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Tape measure 25 ft",ea,16,34,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Speed square",ea,9,20,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Cordless drill and driver kit",ea,165,350,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Circular saw blade 7-1/4 in, 3 pk",pk,24,48,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Reciprocating blades, 10 pk",pk,18,38,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
tools,Tools,"Diamond blade 7 in",ea,28,62,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards; White Cap"
tools,Tools,"Extension cord 12/3, 100 ft",ea,68,125,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards; CED (Consolidated Electrical); Graybar; Winsupply"
tools,Tools,"Work light, LED 10000 lumen",ea,58,120,"Fastenal; Grainger; Zoro; Home Depot Pro; Lowe's Pro; Menards"
